property_price,property_location,beds,baths,receptions,area_sq_ft
"£3,570 pcm","Chelsea, London SW3",1 bed,1 bath,573 sq. ft,NA
"£3,570 pcm","Bayswater, London W2",2 beds,1 bath,585 sq. ft,NA
"£7,150 pcm","Emperors Gate, South Kensington SW7",3 beds,2 baths,1 reception,NA
"£1,250 pcm","Oaklands Grove, London W12",1 bath,NA,NA,NA
"£2,890 pcm","George Street, Croydon CR0",3 beds,2 baths,1 reception,NA
"£1,900 pcm","Scarborough Road, London N4",1 bed,1 bath,1 reception,NA
"£4,814 pcm","Grosvenor Hill, London W1K",1 bed,1 bath,1 reception,712 sq. ft
"£1,450 pcm","Little Heath, Chadwell Heath, Romford RM6",1 bed,1 bath,1 reception,NA
"£4,983 pcm","Casson Square, London SE1",2 beds,2 baths,1 reception,NA
"£1,950 pcm","Philbeach Gardens, London SW5",1 bath,NA,NA,NA
"£1,300 pcm","Girton Close, Northolt UB5",1 bed,1 bath,1 reception,NA
"£2,750 pcm","Quaker Street, Shoredtich E1",2 beds,2 baths,1 reception,NA
"£1,650 pcm","Ilford Lane, Ilford IG1",2 beds,1 bath,1 reception,NA
"£1,550 pcm","Girton Close, Northolt UB5",1 bed,1 bath,1 reception,NA
"£8,233 pcm","Kingston House South, Ennismore Gardens SW7",3 beds,2 baths,2 receptions,NA
"£2,400 pcm","Bow Common Lane, London E3",3 beds,1 bath,1 reception,NA
"£1,800 pcm","Girton Close, Northolt UB5",2 beds,1 bath,1 reception,NA
"£2,150 pcm","Yeading Lane, Northolt UB5",2 beds,1 bath,NA,NA
"£3,900 pcm","Langham Place, London W4",4 beds,2 baths,1 reception,NA
"£2,400 pcm","Sydney Road, Abbey Wood SE2",3 beds,2 baths,2 receptions,NA
"£2,800 pcm","Mile End Road, Whitechapel E1",3 beds,1 bath,1 reception,NA
"£3,467 pcm","Harcourt Tower, 67 Marsh Wall, London E14",2 beds,1 bath,1 reception,614 sq. ft
"£4,442 pcm","Fulham Road, London SW3",2 beds,2 baths,1 reception,843 sq. ft
"£3,900 pcm","Water Street, London E14",2 beds,2 baths,NA,NA
"£3,500 pcm","Maresfield Gardens, Hampstead NW3",2 beds,1 bath,1 reception,NA
"£2,000 pcm","Jasper Road, London E16",3 beds,1 bath,1 reception,686 sq. ft
"£1,125 pcm","Alexandra Road, Mitcham CR4",1 bed,1 bath,NA,NA
"£3,750 pcm","Revelstoke Road, Southfields, London SW18",1 bed,1 bath,1 reception,1090 sq. ft
"£2,180 pcm","Canary Wharf, London E14",1 bed,2 baths,917 sq. ft,NA
"£5,633 pcm","East Heath Road, Hampstead NW3",2 beds,2 baths,1 reception,NA
"£2,000 pcm","Jasper Road, London E16",3 beds,1 bath,1 reception,686 sq. ft
"£1,125 pcm","Alexandra Road, Mitcham CR4",1 bed,1 bath,NA,NA
"£1,699 pcm","Alexandra Road, Mitcham CR4",1 bed,1 bath,1 reception,NA
"£10,833 pcm","Elite House, St. Annes Street, London E14",2 beds,2 baths,1 reception,637 sq. ft
"£2,600 pcm","Pied Bull Court, Galen Place WC1A",1 bed,2 baths,1 reception,NA
"£4,108 pcm","Water Street, London E14",2 beds,2 baths,910 sq. ft,NA
"£1,000 pcm","Worton Way, Isleworth TW7",1 bath,NA,NA,NA
"£1,000 pcm","Pownall Road, London E8",1 bath,NA,NA,NA
£950 pcm,"Pownall Road, London E8",1 bath,NA,NA,NA
"£3,900 pcm","Aspen, 50 Marsh Wall E22",2 beds,2 baths,1 reception,864 sq. ft
"£1,050 pcm","Pownall Road, London E8",1 bath,NA,NA,NA
£850 pcm,"Pownall Road, London E8",1 bath,NA,NA,NA
"£1,700 pcm","Llanover Road, Wembley HA9",2 beds,1 bath,1 reception,596 sq. ft
"£3,500 pcm","Haydons Road, London SW19",4 beds,3 baths,1 reception,NA
"£1,800 pcm","Market Square, London E14",2 beds,1 reception,NA,NA
"£2,600 pcm","Chiswick High Road, London W4",2 beds,1 bath,1 reception,NA
"£1,775 pcm","Wandsworth Bridge Road, Fulham SW6",1 bed,1 bath,1 reception,NA
"£3,033 pcm","Merchant Square East, London W2",1 bed,1 bath,1 reception,501 sq. ft
"£3,000 pcm","Silverbirch Walk, Maitland Park Road, London NW3",2 beds,3 baths,NA,NA
"£2,817 pcm","Stephendale Road, London SW6",3 beds,1 bath,1 reception,NA
"£1,650 pcm","Monarchs Court, 10 Grenville Place, London NW7",2 beds,1 bath,1 reception,NA
"£2,000 pcm","Cambridge Heath Road, Bethnal Green E2",2 beds,1 bath,1 reception,NA
"£2,200 pcm","Victoria Park Square, London E2",1 bed,1 bath,1 reception,NA
"£1,650 pcm","Scarborough Road, London N4",1 bath,1 reception,NA,NA
"£2,102 pcm","Sycamore Close, Feltham TW13",3 beds,2 baths,NA,NA
"£1,800 pcm","Plaistow Road, Plaistow, London E13",1 bed,1 bath,1 reception,746 sq. ft
"£2,600 pcm","9 Albert Embankment, Vauxhall, London SE1",1 bed,1 bath,1 reception,581 sq. ft
"£2,135 pcm","Vanguard Way, London E17",1 bed,1 bath,1 reception,558 sq. ft
"£3,250 pcm","Trader Road, East Beckton E6",4 beds,3 baths,2 receptions,NA
"£3,000 pcm","Hetherington Road, London SW4",2 beds,1 bath,1 reception,NA
"£2,380 pcm","George Street, Croydon CR0",2 beds,2 baths,1 reception,NA
£900 pcm,"George Lane, London E18",1 bath,NA,NA,NA
"£1,750 pcm","Prospect Court, Foots Cray High Street, Sidcup DA14",2 beds,1 bath,1 reception,NA
"£1,400 pcm","Taywood Road, Northolt UB5",2 beds,2 baths,1 reception,NA
"£1,500 pcm","High Street North, London E6",1 bed,1 bath,1 reception,NA
"£2,700 pcm","Webber Street, London SE1",2 beds,1 bath,1 reception,NA
"£5,000 pcm","Wendle Square, Battersea Park SW11",4 beds,3 baths,2 receptions,NA
"£1,400 pcm","Barville Close, London SE4",1 bed,1 bath,1 reception,NA
"£2,100 pcm","Wild's Rents, London SE1",1 bed,1 bath,1 reception,484 sq. ft
"£3,033 pcm","Merchant Square East, London W2",1 bed,1 bath,1 reception,501 sq. ft
£775 pcm,"New Street Hill, Bromley BR1",1 bed,1 bath,NA,NA
"£3,800 pcm","Cathles Rd, London SW12",2 beds,2 baths,NA,NA
"£2,800 pcm","Palmer Road, London SW11",1 bed,1 bath,NA,NA
"£2,150 pcm","Fencepiece Road, Ilford IG6",3 beds,2 baths,1 reception,NA
"£3,700 pcm","Long Lane, London SE1",3 beds,3 baths,1 reception,NA
"£5,350 pcm","Abell House, John Islip Street, Westminster, London SW1P",2 beds,2 baths,1 reception,1027 sq. ft
"£1,850 pcm","Wheat Sheaf Close, London E14",2 beds,2 baths,1 reception,NA
"£10,000 pcm","Lauderdale Drive, Richmond TW10",6 beds,4 baths,2 receptions,NA
"£2,350 pcm","Princes Court, Surrey Quays SE16",2 beds,2 baths,1 reception,888 sq. ft
"£6,250 pcm","Denton Road, Twickenham TW1",5 beds,3 baths,2 receptions,NA
"£3,400 pcm","Chamberlayne Avenue, Wembley HA9",6 beds,4 baths,2 receptions,NA
"£1,750 pcm","Edgware Road, London W2",1 bed,1 bath,1 reception,NA
"£1,295 pcm","Althorpe Road, Harrow HA1",1 bed,1 bath,1 reception,NA
"£2,145 pcm","Egerton Gardens, London SW3",1 bath,1 reception,NA,NA
"£6,500 pcm","Bramham Gardens, London SW5",2 beds,2 baths,2 receptions,NA
"£3,050 pcm","Milestone House, Old Kent Road SE1",4 beds,2 baths,1 reception,NA
"£3,000 pcm","Wilkinson Close, London NW2",3 beds,2 baths,1 reception,1148 sq. ft
"£1,735 pcm","George Street, Croydon CR0",1 bed,1 bath,1 reception,NA
"£1,950 pcm","Umber House, Lismore Boulevard, London NW9",2 beds,2 baths,1 reception,NA
"£6,900 pcm","Ferme Park Road, Crouch End, London N8",6 beds,2 baths,2 receptions,2045 sq. ft
"£2,600 pcm","Hogarth Gardens, Hounslow TW5",4 beds,1 bath,1 reception,NA
"£4,767 pcm","Pulse Apartments, 52 Lymington Road NW6",3 beds,2 baths,1 reception,1056 sq. ft
"£2,300 pcm","Scarborough Road, London N4",2 beds,1 bath,1 reception,NA
"£9,967 pcm","Park Lane, London W1K",3 beds,2 baths,1 reception,NA
"£8,732 pcm","Park Road, London NW8",5 beds,4 baths,2400 sq. ft,NA
"£2,050 pcm","Highbury Stadium Square, London N5",1 bed,1 bath,1 reception,NA
"£17,333 pcm","Park Towers, Brick Street, London W1J",3 beds,3 baths,1 reception,1952 sq. ft
"£2,150 pcm","Archway Road, London N6",2 beds,1 bath,1 reception,646 sq. ft
"£1,300 pcm","Anerley Road, London SE20",1 bed,1 bath,1 reception,NA
"£1,150 pcm","Boltons Lane, Harlington UB3",1 bed,1 bath,NA,NA
"£2,400 pcm","East Ferry Road, Heritage Tower E14",1 bed,1 bath,1 reception,554 sq. ft
"£2,383 pcm","Richmond Way, Shepherds Bush W12",2 beds,1 bath,1 reception,675 sq. ft
"£1,500 pcm","Benedicts Wharf, Highbridge Road, Barking IG11",1 bed,1 bath,1 reception,NA
"£1,000 pcm","John Aird Court, London W2",5 beds,3 baths,NA,NA
"£2,000 pcm","Warwick Road, London SW5",1 bed,1 bath,1 reception,NA
"£2,200 pcm","Summerwood Road, Isleworth TW7",3 beds,1 bath,1 reception,918 sq. ft
"£1,000 pcm","Elmdene, Tolworth, Surbiton KT5",1 bath,NA,NA,NA
"£2,000 pcm","Silverworks Close, London NW9",2 beds,2 baths,1 reception,NA
"£2,700 pcm","Curlew Street, London SE1",2 beds,2 baths,1 reception,NA
"£4,000 pcm","Edgware Road, London W2",1 bed,1 bath,572 sq. ft,NA
"£1,995 pcm","Talisman Tower, Lincoln Plaza, Canary Wharf, London E14",1 bath,1 reception,324 sq. ft,NA
"£3,012 pcm","Edith Grove, Chelsea, London SW10",2 beds,1 bath,1 reception,534 sq. ft
"£9,000 pcm","Atalanta Street, London SW6",6 beds,4 baths,2 receptions,NA
"£3,276 pcm","Hill Street, Mayfair W1J",1 bed,1 bath,1 reception,437 sq. ft
"£2,199 pcm","Southwood Drive, Surbiton KT5",3 beds,1 bath,NA,NA
"£2,925 pcm","George Street, London E14",1 bed,1 bath,585 sq. ft,NA
"£11,700 pcm","Prince Of Wales Terrace, London W8",2 beds,2 baths,NA,NA
"£2,200 pcm","Southwood Drive, Surbiton KT5",3 beds,1 bath,NA,NA
"£2,150 pcm","Kingsbury Road, London NW9",3 beds,1 bath,1 reception,NA
"£2,100 pcm","Selborne Gardens, London NW4",2 beds,1 bath,NA,NA
"£4,000 pcm","Baker Street, London NW1",3 beds,2 baths,1 reception,1276 sq. ft
"£1,900 pcm","Gladding Road, London E12",2 beds,1 bath,1 reception,NA
"£2,700 pcm","Kew Gardens Road, Kew, Richmond, Surrey TW9",3 beds,2 baths,1 reception,NA
"£1,700 pcm","Kew Gardens Road, Kew, Richmond, Surrey TW9",1 bed,1 bath,1 reception,NA
"£8,450 pcm","Grove End Road, St John's Wood, London NW8",4 beds,3 baths,1 reception,1766 sq. ft
£750 pcm,"Ordnance Road, Enfield EN3",1 bed,1 bath,1 reception,1141 sq. ft
£850 pcm,"Ordnance Road, Enfield EN3",1 bed,1 bath,1 reception,1141 sq. ft
"£4,312 pcm","Cresta House, Finchley Road, Swiss Cottage NW3",3 beds,3 baths,1 reception,1074 sq. ft
"£3,600 pcm","St George Wharf SW8, Vauxhall, London,",2 beds,2 baths,1 reception,1325 sq. ft
"£1,900 pcm","Cleave Avenue, Hayes UB3",2 beds,765 sq. ft,NA,NA
"£17,333 pcm","Elystan Place, London SW3",4 beds,4 baths,1 reception,NA
"£3,012 pcm","Turks Row, Sloane Square, London SW3",2 beds,1 bath,1 reception,790 sq. ft
"£3,800 pcm","Horne Way, West Putney, London SW15",3 beds,1 bath,1 reception,799 sq. ft
"£5,634 pcm","Firth Gardens, Fulham, London SW6",2 beds,2 baths,1 reception,964 sq. ft
"£13,000 pcm","Studdridge Street, Fulham, London SW6",4 beds,3 baths,2 receptions,2479 sq. ft
"£2,145 pcm","Cromwell Road, South Kensington, London SW7",1 bath,1 reception,462 sq. ft,NA
"£2,400 pcm","Horne Way, West Putney, London SW15",3 beds,1 bath,1 reception,799 sq. ft
"£2,000 pcm","The Green, Southall UB2",2 beds,2 baths,1 reception,615 sq. ft
"£2,400 pcm","Sheepcote Road, Harrow HA1",1 bed,1 bath,1 reception,503 sq. ft
"£5,633 pcm","Whetstone Park, London WC2A",3 beds,2 baths,1 reception,NA
"£2,800 pcm","Alington Crescent, Kingsbury, London NW9",3 beds,1 bath,1 reception,1468 sq. ft
"£4,008 pcm","Nottingham Place, London W1U",2 beds,1 bath,1 reception,NA
"£5,200 pcm","Ifield Road, Chelsea, London SW10",2 beds,2 baths,1 reception,778 sq. ft
"£2,750 pcm","Heygate Street, Elephant And Castle, London SE17",1 bed,1 bath,1 reception,557 sq. ft
"£1,650 pcm","Sheepcote Road, Harrow HA1",1 bed,1 bath,1 reception,503 sq. ft
"£5,000 pcm","Steedman Street, Elephant And Castle, London SE17",2 beds,1 bath,1 reception,940 sq. ft
"£2,275 pcm","Saltram Crescent, Maida Vale, London W9",2 beds,1 bath,1 reception,572 sq. ft
"£1,550 pcm","Streatham High Road, London SW16",1 bed,1 bath,1 reception,NA
"£1,725 pcm","Copers Cope Road, Beckenham, Kent BR3",2 beds,2 baths,1 reception,NA
"£1,919 pcm","Ark Wembley, First Way, Wembley HA9",1 bath,1 reception,NA,NA
£850 pcm,"Yoxley Drive, Ilford IG2",1 bed,1 bath,NA,NA
"£2,297 pcm","Corson House, London City Island, London E14",1 bed,1 bath,1 reception,NA
"£1,850 pcm","Corbylands Road, Sidcup DA15",2 beds,1 bath,2 receptions,NA
"£3,750 pcm","Hyperion Tower, Pump House Crescent, Brentford TW8",3 beds,2 baths,1 reception,1040 sq. ft
"£1,899 pcm","Ark Wembley, First Way, Wembley HA9",1 bath,1 reception,NA,NA
"£1,733 pcm","The Hyde, London NW9",1 bed,1 bath,1 reception,NA
"£1,650 pcm","Gosfield Street, London W1W",1 bed,1 bath,440 sq. ft,NA
"£4,000 pcm","Royal Mint Street, London E1",3 beds,4 baths,1 reception,1379 sq. ft
"£1,559 pcm","Ark Wembley, First Way, Wembley HA9",1 bath,1 reception,NA,NA
"£1,950 pcm","Westbere Road, London NW2",2 beds,1 bath,1 reception,NA
"£1,452 pcm","Kentish Town Road, Kentish Town NW1",1 bath,1 reception,NA,NA
"£1,950 pcm","More Close, St. Paul's Court, Hammersmith W14",1 bed,1 bath,1 reception,509 sq. ft
"£1,795 pcm","Ulysses Road, London NW6",1 bed,1 bath,NA,NA
"£3,033 pcm","Merchant Square East, London W2",1 bed,1 bath,1 reception,NA
"£12,176 pcm","Rainville Road, Hammersmith W6",3 beds,4 baths,3 receptions,1872 sq. ft
"£1,400 pcm","Brendans Close, Hornchurch RM11",1 bed,1 bath,1 reception,NA
"£2,799 pcm","Frimley Gardens, Mitcham CR4",1 bed,1 bath,1 reception,NA
"£4,333 pcm","Marsh Wall, Canary Wharf E14",2 beds,3 baths,NA,NA
"£15,578 pcm","Arkwright Road, Hampstead NW3",4 beds,4 baths,1 reception,2225 sq. ft
"£2,037 pcm","Newington Causeway, London SE1",1 bed,NA,NA,NA
"£2,000 pcm","Roman Road, London E3",2 beds,1 bath,1 reception,NA
"£1,950 pcm","Holloway Road, Holloway, London N7",2 beds,1 bath,1 reception,NA
"£1,500 pcm","Lithos Mansions, Finchley Road, London NW3",1 bath,1 reception,NA,NA
"£2,557 pcm","Shoreditch Exchange, Shoreditch, London E2",1 bed,1 bath,1 reception,NA
"£2,817 pcm","William IV Street, Covent Garden WC2N",1 bed,1 bath,1 reception,NA
"£1,750 pcm","Argyle Walk, London WC1H",1 bed,1 bath,1 reception,450 sq. ft
"£1,900 pcm","Betham Road, Greenford UB6",2 beds,2 baths,1 reception,NA
"£1,799 pcm","Ark Wembley, First Way, Wembley HA9",1 bath,1 reception,NA,NA
"£1,950 pcm","Copenhagen Street, Islington, London N1",1 bed,1 bath,1 reception,323 sq. ft
"£1,300 pcm","Willenhall Drive, Hayes UB3",1 bed,1 bath,1 reception,NA
"£2,799 pcm","Victoria Road, Mitcham CR4",4 beds,1 bath,NA,NA
"£1,800 pcm","Tracey Bellamy Court, Limehouse E14",1 bed,1 bath,1 reception,560 sq. ft
"£1,750 pcm","High Road, North Finchley N12",2 beds,1 bath,1 reception,NA
"£2,750 pcm","Station Road, Harrow HA1",3 beds,NA,NA,NA
£295 pcm,"Old Brompton Road, London SW5",2 beds,2 baths,1 reception,680 sq. ft
"£3,033 pcm","Back Church Lane, London E1",1 bath,1 reception,NA,NA
£950 pcm,"Telford Avenue, Streatham Hill SW2",2 beds,1 bath,1 reception,753 sq. ft
"£1,795 pcm","Cherington Road, Hanwell, London W7",1 bed,1 bath,1 reception,NA
"£2,045 pcm","Balfron Tower St. Leonards Road, London E14",1 bath,1 reception,NA,NA
"£1,400 pcm","Lithos Mansions, Finchley Road, London NW3",2 beds,1 bath,1 reception,NA
"£1,900 pcm","Kenninghall Road, Rectory Rail, Upper Clapton, Hackney E5",2 beds,2 baths,1 reception,NA
"£2,795 pcm","Balfron Tower St. Leonards Road, London E14",2 beds,2 baths,1 reception,NA
"£4,030 pcm","Duchess Walk, London SE1",3 beds,1 bath,1 reception,645 sq. ft
"£2,750 pcm","Wynford Road, London N1",1 bed,1 bath,1 reception,550 sq. ft
"£6,000 pcm","Logan Mews, London W8",3 beds,2 baths,1 reception,NA
"£3,033 pcm","Hatton Wall, Holborn, London EC1N",2 beds,NA,NA,NA
"£4,996 pcm","North End Way, Hampstead NW3",3 beds,3 baths,1 reception,1292 sq. ft
"£1,850 pcm","Lingards Road, London SE13",2 beds,1 bath,1 reception,NA
"£1,750 pcm","Highwood Hill, London NW7",3 beds,2 baths,1250 sq. ft,NA
"£12,350 pcm","Wynford Road, London N1",1 bed,1 bath,1 reception,NA
"£3,575 pcm","Tomline House, Union Street, London, 0Et, London SE1",2 beds,NA,NA,NA
"£2,050 pcm","Minton Mews, London NW6",1 bath,1 reception,NA,NA
"£1,045 pcm","Hanger Lane, London W5",2 beds,1 bath,1 reception,NA
"£2,100 pcm","Fairmead Road, London N19",2 beds,2 baths,1 reception,NA
"£3,500 pcm","Exchange Gardens, London SW8",2 beds,2 baths,1 reception,NA
"£2,250 pcm","Cromwell Road, Teddington TW11",4 beds,2 baths,1 reception,NA
"£2,750 pcm","Landcroft Road, London SE22",2 beds,2 baths,2 receptions,NA
"£3,987 pcm","Meranti House, Goodmans Fields, Aldgate E1",1 bed,1 bath,NA,NA
"£1,400 pcm","Winmill Road, Dagenham RM8",1 bath,NA,NA,NA
"£1,299 pcm","Ealing, London W13",5 beds,2 baths,NA,NA
"£3,150 pcm","Hillview Gardens, Harrow HA2",1 bath,NA,NA,NA
"£1,700 pcm","Spring Street, London W2",1 bed,1 bath,NA,NA
"£1,050 pcm","Adelaide Road, London NW3",3 beds,2 baths,1 reception,NA
"£3,200 pcm","Fortune Green Road, London NW6",2 beds,2 baths,1 reception,NA
"£6,500 pcm","Cadogan Square, Knightsbridge SW1X",2 beds,2 baths,1 reception,NA
"£4,767 pcm","Cadogan Square, Knightsbridge SW1X",1 bath,1 reception,NA,NA
£925 pcm,"Adelaide Road, London NW3",1 bath,NA,NA,NA
"£1,200 pcm","Camden High Street, London NW1",2 beds,1 bath,NA,NA
"£2,900 pcm","Melrose Ave, Cricklewood NW2",3 beds,2 baths,NA,NA
"£3,250 pcm","Candahar Road, Battersea SW11",1 bed,1 bath,NA,NA
"£1,500 pcm","Alexandra Grove, London N12",2 beds,1 bath,NA,NA
"£5,000 pcm","Longmead Road, Tooting, London SW17",6 beds,1506 sq. ft,NA,NA
"£2,578 pcm","Trinity Street, London SE1",2 beds,1 bath,1 reception,NA
"£1,907 pcm","Kings Avenue, London SW4",1 bed,NA,NA,NA
"£2,295 pcm","Augustine House, London SE13",1 bed,1 bath,NA,NA
"£1,200 pcm","Redford Close, Feltham TW13",1 bed,1 bath,NA,NA
"£3,280 pcm","Bridgeway House, Twickenham TW2",2 beds,1 bath,NA,NA
£950 pcm,"Eastern Ave, Romford RM1",1 bed,2 baths,NA,NA
"£5,000 pcm","Rectory Orchard, London SW19",5 beds,1 bath,NA,NA
"£2,500 pcm","Grove End Road, London NW8",2 beds,1 bath,1 reception,596 sq. ft
"£1,995 pcm","Washington Road, Worcester Park KT4",3 beds,1 bath,2 receptions,NA
"£2,500 pcm","Caxton Street North, London E16",2 beds,2 baths,1 reception,NA
"£12,000 pcm","Brampton Grove, London NW4",9 beds,5 baths,5 receptions,NA
"£1,750 pcm","Scarborough Road, London N4",1 bed,1 bath,NA,NA
"£1,500 pcm","Lithos Mansions, Finchley Road, London NW3",1 bath,1 reception,NA,NA
"£1,712 pcm","Castletown Road, West Kensington W14",1 bed,1 bath,1 reception,NA
"£5,000 pcm","Somerset Road, London SW19",5 beds,1 bath,NA,NA
"£1,153 pcm","Olive Road, Cricklewood NW2",1 bath,1 reception,NA,NA
"£2,999 pcm","Dynham Road, West Hampstead NW6",3 beds,2 baths,1 reception,NA
"£3,650 pcm","Daleham Mews, Hampstead NW3",2 beds,1 bath,1 reception,837 sq. ft
"£6,283 pcm","Cranley Gardens, London SW7",3 beds,2 baths,1 reception,1497 sq. ft
"£3,400 pcm","Crouch Hill, London N4",5 beds,1 bath,NA,NA
"£2,500 pcm","Laburnum Road, Hayes UB3",3 beds,2 baths,1 reception,NA
"£1,560 pcm","Cheniston Gardens, High Street Kensington W8",1 bath,1 reception,NA,NA
"£2,800 pcm","St. Pancras Way, London NW1",3 beds,1 bath,1 reception,NA
"£1,600 pcm","Charterhouse Square, Clerkenwell EC1M",1 bath,1 reception,NA,NA
"£2,150 pcm","Newington Causeway, London SE1",1 bed,1 bath,1 reception,528 sq. ft
"£1,050 pcm","Dene Close, Outwood Lane, Chipstead, Coulsdon CR5",2 beds,1 bath,1 reception,NA
"£3,900 pcm","Westbourne Terrace, London W2",3 beds,1 bath,1 reception,NA
"£4,550 pcm","Pelham Court, 145 Fulham Road, South Kensington, London SW3",2 beds,2 baths,1 reception,NA
"£1,800 pcm","Swanton Court, Jerrard Street SE13",2 beds,1 bath,1 reception,NA
"£2,383 pcm","Holland Road, Kensington W14",2 beds,2 baths,1 reception,NA
"£2,000 pcm","Parkmore Close, Woodford Green IG8",2 beds,1 bath,1 reception,NA
"£2,895 pcm","Spring Grove Road, Hounslow TW3",5 beds,3 baths,1 reception,NA
"£4,000 pcm","St. Ann's Hill, Wandsworth SW18",4 beds,2 baths,1 reception,NA
"£1,200 pcm","Bovis House, Northolt Road, Harrow HA2",1 bath,1 reception,NA,NA
"£1,550 pcm","Brook Lodge, North Circular Road, Golders Green NW11",1 bed,1 bath,1 reception,NA
"£2,350 pcm","Commercial Street, Shoreditch E1",1 bed,1 bath,1 reception,NA
"£1,850 pcm","Marlyn Lodge, Portsoken Street E1",1 bed,1 bath,NA,NA
"£5,200 pcm","Manor House, Marylebone Road NW1",3 beds,2 baths,2 receptions,NA
"£8,750 pcm","Queensmead, St. John's Wood Park NW8",5 beds,3 baths,2 receptions,NA
"£2,450 pcm","Commercial Street, London E1",1 bed,2 baths,642 sq. ft,NA
"£1,450 pcm","Thurza Court, College Road TW7",1 bed,1 bath,1 reception,NA
"£1,425 pcm","Braybourne Drive, Isleworth TW7",1 bed,1 bath,NA,NA
"£3,000 pcm","Southbury, 144 Loudoun Road, St Johns Wood, London NW8",3 beds,2 baths,1 reception,1248 sq. ft
"£2,200 pcm","Knight House, 22 Scott Avenue SW15",1 bed,1 bath,NA,NA
"£2,750 pcm","Danemere Street, West Putney SW15",3 beds,2 baths,1 reception,NA
"£3,467 pcm","St Mary Abbots Court, Warwick Gardens, Kensington W14",2 beds,2 baths,1 reception,NA
"£1,750 pcm","St. Andrews Road, Acton W3",1 bed,1 bath,1 reception,NA
"£4,800 pcm","Windsor Road, London E7",5 beds,3 baths,2 receptions,NA
"£1,500 pcm","Dandi Brondesbury, Willesden Green, London NW2",1 bath,NA,NA,NA
"£1,250 pcm","Wooldridge Close, Feltham TW14",1 bed,1 bath,1 reception,NA
"£1,690 pcm","Lexham Gardens, Kensington W8",1 bath,NA,NA,NA
"£2,491 pcm","80 Back Church Lane, Twyne House Apartments, London E1",1 bed,1 bath,1 reception,NA
"£3,250 pcm","Coningham Road, Shepherd's Bush, London W12",2 beds,1 bath,1 reception,530 sq. ft
"£4,352 pcm","St. George Wharf, Nine Elms, London SW8",1 bed,1 bath,624 sq. ft,NA
"£15,578 pcm","Arkwright Road, Hampstead NW3",4 beds,4 baths,2 receptions,2225 sq. ft
"£4,312 pcm","Edgware Road, London W2",1 bed,1 bath,559 sq. ft,NA
"£4,995 pcm","Brackenbury Road, London W6",5 beds,3 baths,2 receptions,NA
"£4,000 pcm","Ilchester Court, High Street Kensington, London W8",2 beds,2 baths,1 reception,925 sq. ft
"£2,400 pcm","Coningham Road, Shepherd's Bush, London W12",2 beds,1 bath,1 reception,530 sq. ft
"£3,250 pcm","Windmill Close, Bermondsey, London SE1",3 beds,2 baths,1 reception,977 sq. ft
"£3,950 pcm","Claylands Road, Oval, London SW8",3 beds,1 bath,1 reception,1179 sq. ft
"£1,690 pcm","Palace Court, Bayswater / Notting Hill W2",1 bath,NA,NA,NA
"£2,600 pcm","Southcroft Road, Furzedown, London SW16",3 beds,1 bath,1 reception,1009 sq. ft
"£4,117 pcm","Southcroft Road, Furzedown, London SW16",3 beds,1 bath,1 reception,1009 sq. ft
"£13,000 pcm","Cheyne Walk, Chelsea, London SW10",2 beds,2 baths,1 reception,1460 sq. ft
"£5,850 pcm","Tale House, Bloomsbury, London WC1N",2 beds,1 bath,2 receptions,1107 sq. ft
"£2,500 pcm","Regalia Point, 30 Palmers Road, London E2",2 beds,2 baths,1 reception,NA
"£2,600 pcm","Bollo Bridge Road, Acton, London W3",2 beds,2 baths,1 reception,815 sq. ft
"£2,400 pcm","Queenstown Road, Battersea Park, London SW11",1 bed,1 bath,1 reception,468 sq. ft
"£3,400 pcm","Harbour Reach, Imperial Wharf, London SW6",2 beds,2 baths,1 reception,926 sq. ft
"£3,142 pcm","St George's Drive, Pimlico, London SW1V",1 bed,1 bath,1 reception,515 sq. ft
"£2,275 pcm","St George's Drive, Pimlico, London SW1V",1 bed,1 bath,1 reception,515 sq. ft
"£2,817 pcm","Buckingham Gate, Westminster, London SW1E",1 bath,173 sq. ft,NA,NA
"£2,975 pcm","Walcott Street, Westminster, London SW1P",2 beds,1 bath,1 reception,741 sq. ft
"£1,300 pcm","London Road, Thornton Heath CR7",1 bed,1 bath,1 reception,NA
"£3,684 pcm","Walcott Street, Westminster, London SW1P",2 beds,1 bath,1 reception,741 sq. ft
"£1,500 pcm","Buckingham Gate, Westminster, London SW1E",1 bath,173 sq. ft,NA,NA
"£16,034 pcm","Duke Street, Mayfair, London W1K",2 beds,1282 sq. ft,NA,NA
"£2,250 pcm","Pinner Road, Pinner HA5",3 beds,1 bath,2 receptions,1206 sq. ft
"£9,967 pcm","Somerset Court, 79-81 Lexham Gardens, Kensington, London W8",4 beds,5 baths,1 reception,NA
"£1,800 pcm","Tyssen Street, Dalston, London E8",1 bath,1 reception,603 sq. ft,NA
"£2,579 pcm","St Dunstans Road, Barons Court, London W6",2 beds,1 bath,1 reception,362 sq. ft
"£8,000 pcm","Chesilton Road, London SW6",7 beds,4 baths,1 reception,NA
"£2,575 pcm","Queensland Road, Islington, London N7",2 beds,2 baths,743 sq. ft,NA
"£3,727 pcm","Park Road, London NW8",2 beds,1 bath,1 reception,NA
"£5,000 pcm","Harbour Reach, Imperial Wharf, London SW6",2 beds,2 baths,1 reception,926 sq. ft
