property_price,property_location,beds,baths,receptions,area_sq_ft
£953 pcm,"Woodheyes Road, London NW10",1 bed,1 bath,NA,NA
"£2,600 pcm","Harrow, Harrow HA1",3 beds,2 baths,NA,NA
£953 pcm,"Woodheyes Road, London NW10",1 bed,1 bath,NA,NA
£975 pcm,"Kember Street, London N1",1 bath,NA,NA,NA
"£1,800 pcm","86 Chigwell Road, London E18",2 beds,2 baths,NA,NA
"£2,550 pcm","Quay Walk, Wembley HA0",2 beds,2 baths,NA,NA
"£7,500 pcm","Westbourne Park Road, Notting Hill, London W11",3 beds,3 baths,NA,NA
"£1,430 pcm","Bride Street, London N7",1 bath,NA,NA,NA
£997 pcm,"Kember Street, London N1",1 bath,NA,NA,NA
"£2,730 pcm","Nell Gwynn House, Sloane Avenue SW3",1 bed,1 bath,NA,NA
"£1,430 pcm","Warwick Road, London SW5",1 bath,NA,NA,NA
"£2,903 pcm","Landmark West, 22 Marsh Wall, Westferry Circus, Canary Wharf, London E14",2 beds,2 baths,NA,NA
"£2,297 pcm","Oxygen Building, 18 Western Gateway, Royal Victoria, Canary Wharf E16",2 beds,2 baths,NA,NA
"£2,990 pcm","Hampton Tower, South Quay Plaza, 75 Marsh Wall, Canary Wharf, South Quay, London E14",2 beds,2 baths,NA,NA
"£2,210 pcm","Chaseway Lodge, 206 Butchers Road, Canning Tow, Royal Victoria, London E16",2 beds,2 baths,NA,NA
"£2,297 pcm","Charrington Tower, 11 Biscayne Avenue, Canary Wharf. Blackwall Way, London E14",1 bed,1 bath,NA,NA
"£2,250 pcm","Pembroke Road, London N10",2 beds,1 bath,1 reception,NA
"£2,200 pcm","Reservoir Road, Ruislip HA4",3 beds,2 baths,1 reception,NA
"£2,700 pcm","Marco Polo Tower, Royal Wharf, London E16",2 beds,2 baths,1 reception,NA
"£2,232 pcm","Baillie Apartments, 31 Lock Side Way, Royal Victoria Dock, Excel, London E16",2 beds,2 baths,NA,NA
"£2,817 pcm","Discovery Dock Apartments East Tower, South Quay Square, Canary Wharf, South Quay, London E14",2 beds,2 baths,NA,NA
"£2,700 pcm","Upton Road, London N18",3 beds,NA,NA,NA
"£2,080 pcm","Pan Peninsula West, 2 Pan Peninsula Square, South Quay, Canary Wharf, London E14",1 bed,1 bath,NA,NA
"£1,863 pcm","New Atlas Wharf, Arnhem Place, Mudchute, South Quay, Cross Harbour, Canary Wharf, London E14",1 bed,1 bath,NA,NA
"£1,798 pcm","Carrick House, Royal Crest Ave, Royal Docks, London E16",2 beds,2 baths,NA,NA
"£2,210 pcm","Azura Court, 58 Warton Road, Stratford, Olympic Village, London E15",1 bed,1 bath,NA,NA
"£1,993 pcm","New Providence Wharf, 1 Fairmont Avenue, Blackwall Way, Canary Wharf, London E14",1 bed,1 bath,NA,NA
"£1,712 pcm","Barrier Point Road, London City Airport, Silvertown, Royal Victoria Docks, London E16",1 bed,1 bath,NA,NA
"£1,733 pcm","Tradewinds Apartment, Wards Wharf Approach, London E16",1 bed,1 bath,NA,NA
"£1,798 pcm","Parkside Court, 15 Booth Road, Royal Victoria Docks, West Silver Town, London E16",1 bed,1 bath,NA,NA
"£2,037 pcm","Ontario Tower, 1 Fairmount Avenue, Blackwall, Canary Wharf, London E14",1 bath,151 sq. ft,NA,NA
"£2,058 pcm","Market Road, London N7",2 beds,2 baths,NA,NA
"£2,188 pcm","The Mast, Albert Basin Way, Docklands, London E16",2 beds,NA,NA,NA
"£1,700 pcm","Leaholme Way, Ruislip, Middlesex HA4",1 bath,1 reception,NA,NA
"£1,050 pcm","Pinfold Road, London SW16",1 bed,1 bath,549 sq. ft,NA
"£1,545 pcm","Vida House, 50 Trundleys Road, Deptford SE8",4 beds,1 bath,NA,NA
"£2,350 pcm","Leighton Gardens, South Croydon CR2",1 bed,1 bath,1 reception,NA
"£2,100 pcm","Bedford Road, London SW4",1 bed,1 bath,1 reception,NA
"£3,358 pcm","Gatliff Road, London SW1W",3 beds,1 bath,2 receptions,NA
"£2,250 pcm","Blandford Road, Beckenham BR3",2 beds,1 bath,1 reception,NA
"£1,550 pcm","South Street, Bromley BR1",2 beds,2 baths,1 reception,NA
"£1,800 pcm","Tredown Road, London SE26",2 beds,1 bath,1 reception,NA
"£2,349 pcm","410-412 Fulham Road, London SW6",1 bed,1 bath,NA,NA
"£4,333 pcm","Charles Clowes Walk, Nine Elms SW11",2 beds,2 baths,1 reception,770 sq. ft
"£2,730 pcm","King's Cross, London N1",1 bed,1 bath,740 sq. ft,NA
"£2,600 pcm","Ormonde Terrace, London NW8",2 beds,2 baths,1 reception,NA
£850 pcm,"Yoxley Drive, Ilford IG2",1 bed,1 bath,NA,NA
£650 pcm,"Westbourne Drive, London SE23",1 bed,1 bath,NA,NA
"£1,150 pcm","66C Chingford Mount Road, London E4",1 bath,1 reception,NA,NA
"£2,800 pcm","Cliff End, Purley CR8",4 beds,3 baths,1 reception,NA
"£2,000 pcm","Vita Apartments, Croydon CR0",2 beds,1 bath,1 reception,NA
"£14,990 pcm","Renfrew Road, Coombe, Kingston Upon Thames KT2",5 beds,3 baths,3 receptions,2950 sq. ft
"£2,600 pcm","Herrick Court, Acton W3",2 beds,2 baths,1 reception,NA
"£2,700 pcm","Edbrooke Road, London W9",2 beds,1 bath,1 reception,NA
"£2,350 pcm","Dartmouth Road, London NW2",2 beds,2 baths,1 reception,NA
"£2,900 pcm","Parkway, London NW1",2 beds,2 baths,1 reception,NA
"£2,500 pcm","Clapham Road, London SW9",2 beds,1 bath,1 reception,NA
"£2,900 pcm","Park Lofts, 63 Lyham Road, London SW2",2 beds,2 baths,1 reception,NA
"£1,600 pcm","Nicholas Court, Burnt Ash Hill, Lee SE12",2 beds,1 bath,1 reception,NA
"£2,925 pcm","White City Living, Lincoln Apartments, Fountain Park Way, White City W12",1 bed,1 bath,1 reception,590 sq. ft
"£2,100 pcm","Hillcrest Heights, Ealing W5",2 beds,2 baths,NA,NA
"£2,200 pcm","Ellora Road, Streatham SW16",3 beds,1 bath,2 receptions,NA
"£1,050 pcm","Powis Square, London W11",1 bed,1 bath,NA,NA
"£2,200 pcm","Corbidge Court, Glaisher Street, Greenwich SE8",2 beds,2 baths,1 reception,NA
"£3,995 pcm","Bickenhall Street, Marylebone, London W1U",2 beds,2 baths,1 reception,NA
"£2,925 pcm","White City Living, Belvedere Row Apartments, Fountain Park Way, White City W12",1 bed,1 bath,1 reception,550 sq. ft
"£1,150 pcm","Moray Avenue, Hayes UB3",1 bath,1 reception,NA,NA
"£2,510 pcm","Whitechapel/Brick Lane, London E1",1 bed,1 bath,552 sq. ft,NA
"£3,250 pcm","Crossway, London SW20",3 beds,1 bath,2 receptions,1183 sq. ft
"£4,814 pcm","Grosvenor Hill, London W1K",1 bed,1 bath,NA,NA
"£2,400 pcm","Portland Road, Southall UB2",3 beds,1 bath,1 reception,NA
"£6,500 pcm","The Belvedere, Chelsea Harbour, London SW10",3 beds,3 baths,1 reception,NA
"£6,912 pcm","Fitzjohns Avenue, Hampstead, London NW3",3 beds,3 baths,1 reception,990 sq. ft
"£1,000 pcm","19 Uxendon Crescent, Wembley HA9",1 bed,1 bath,NA,NA
"£1,550 pcm","Nevada Building, 40 Blackheath Road, London SE10",1 bed,1 bath,1 reception,NA
"£2,000 pcm","Portland Road, Southall UB2",2 beds,1 bath,1 reception,NA
"£1,800 pcm","Stenhall Lane, Peckham Rye, London SE15",2 beds,1 bath,1 reception,NA
"£1,500 pcm","Badminton House, Dog Kennell Hill, East Dulwich, London SE22",1 bed,1 bath,1 reception,NA
"£1,450 pcm","Fenwick Road, Peckham Rye, London SE15",1 bed,1 bath,1 reception,NA
"£1,090 pcm","Redcliffe Gardens, London SW10",1 bed,1 bath,NA,NA
"£1,690 pcm","Victoria Road, London W3",1 bath,139 sq. ft,NA,NA
"£2,600 pcm","Metro Central Heights, 119 Newington Causeway SE1",2 beds,1 bath,1 reception,NA
"£2,000 pcm","Station Road, London N3",2 beds,1 bath,NA,NA
£990 pcm,"Senior Street, London W2",1 bed,1 bath,NA,NA
"£3,792 pcm","North Audley Street, Mayfair W1K",1 bed,1 bath,1 reception,NA
"£2,250 pcm","Hornton Street, Kensington W8",1 bed,1 bath,1 reception,NA
"£6,000 pcm","Lime Grove, New Malden KT3",4 beds,2 baths,1 reception,1304 sq. ft
"£3,750 pcm","Lime Grove, New Malden KT3",4 beds,2 baths,1 reception,1304 sq. ft
"£2,200 pcm","Green Lanes N21, Winchmore Hill, London,",2 beds,1 bath,1 reception,662 sq. ft
"£3,400 pcm","Balham Hill, Balham, London SW12",3 beds,2 baths,1 reception,705 sq. ft
"£2,450 pcm","Chingford Road, Walthamstow, London E17",2 beds,1 bath,925 sq. ft,NA
"£1,150 pcm","Cedars Avenue, Mitcham CR4",1 bed,1 bath,1 reception,NA
"£2,100 pcm","Hydethorpe Road, Balham, London SW12",2 beds,1 bath,1 reception,591 sq. ft
"£5,500 pcm","Fernside Road, Nightingale Triangle, London SW12",4 beds,2 baths,2 receptions,1886 sq. ft
"£2,450 pcm","England's Lane, Belsize Park NW3",2 beds,1 bath,1 reception,750 sq. ft
"£1,955 pcm","The Gessner, 3 Watermead Way, Tottenham Hale N17",1 bed,1 bath,471 sq. ft,NA
"£1,550 pcm","Astra Court, London W7",1 bed,1 bath,NA,NA
£950 pcm,"Bedfont Close, Bedfont/Feltham TW14",1 bed,2 baths,NA,NA
"£2,650 pcm","Lawrence Grove, Uxbridge UB10",3 beds,2 baths,NA,NA
"£2,900 pcm","West End Lane, London NW6",3 beds,1 bath,2 receptions,NA
"£8,753 pcm","Strathmore Court, St John's Wood, London NW8",5 beds,NA,NA,NA
"£9,728 pcm","South Audley Street, London, 2 W1K",2 beds,2 baths,NA,NA
"£1,695 pcm","Stratford, London E15",1 bed,1 bath,NA,NA
"£3,400 pcm","Northfield House, London SE15",4 beds,1 bath,NA,NA
"£2,350 pcm","Shakspeare Walk Top Floor, London N16",2 beds,1 bath,NA,NA
"£1,800 pcm","Commercial Street, London E1",1 bath,NA,NA,NA
"£2,000 pcm","Laburnum Road, Hayes, Middlesex UB3",2 beds,1 bath,NA,NA
£950 pcm,"Archway Road, London N6",1 bed,2 baths,NA,NA
"£2,300 pcm","Burghley House, London NW7",2 beds,2 baths,NA,NA
"£1,100 pcm","Great West Road, Hounslow TW5",1 bath,NA,NA,NA
"£2,060 pcm","Swinderby Road, Wembley HA0",3 beds,2 baths,NA,NA
"£2,500 pcm","Bouchon Point, London E1",1 bed,1 bath,NA,NA
"£1,800 pcm","Beatty Road, London N16",1 bed,1 bath,NA,NA
"£2,000 pcm","Brecknock Road, London N7",2 beds,1 bath,NA,NA
"£2,050 pcm","Tottenham Lane, Crouch End N8",2 beds,1 bath,NA,NA
"£1,820 pcm","St. Davids Square, London E14",1 bed,1 bath,NA,NA
"£3,500 pcm","Eliot Gardens, London SW15",4 beds,2 baths,NA,NA
"£1,600 pcm","Church Street, London EN2",1 bed,1 bath,NA,NA
"£1,235 pcm","Camelford Walk, London W11",1 bath,NA,NA,NA
"£1,100 pcm","Griffin Road, London SE18",1 bed,1 bath,NA,NA
"£2,550 pcm","Natal Road, London SW16",3 beds,1 bath,NA,NA
"£3,575 pcm","Regent Court, London W8",2 beds,2 baths,NA,NA
"£1,400 pcm","Westfield Park, Pinner HA5",1 bed,1 bath,NA,NA
"£1,750 pcm","Hambly Mansions, London SW16",2 beds,1 bath,NA,NA
"£2,750 pcm","Balham, London SW17",2 beds,1 bath,NA,NA
"£1,100 pcm","Clarence Gardens, London NW1",1 bed,2 baths,NA,NA
£850 pcm,"Gibbs Close, London SE19",1 bed,1 bath,NA,NA
"£3,500 pcm","Trematon Walk, London N1",2 beds,2 baths,1 reception,NA
£850 pcm,"838-836 London Road, Thornton Heath, London CR7",1 bed,1 bath,NA,NA
"£3,490 pcm","Knightsbridge, London SW1X",2 beds,1 bath,554 sq. ft,NA
"£2,450 pcm","Holmes Road, London NW5",1 bed,1 bath,NA,NA
"£2,400 pcm","White Church Passage, London E1",2 beds,1 bath,NA,NA
£800 pcm,"Orchard Crescent, Edgware, London HA8",1 bed,1 bath,NA,NA
"£1,800 pcm","Stuart Crescent, London N22",2 beds,2 baths,NA,NA
"£1,050 pcm","Links Road, London SW17",1 bed,2 baths,NA,NA
"£2,200 pcm","Worple Road, London SW19",2 beds,1 bath,NA,NA
"£1,350 pcm","Westmoreland Road, London SE17",1 bath,NA,NA,NA
"£2,000 pcm","Grenard Close, London SE15",2 beds,1 bath,NA,NA
"£1,900 pcm","Wilberforce Road, London NW9",2 beds,2 baths,NA,NA
£985 pcm,"Genesta Road, London SE18",1 bed,4 baths,NA,NA
£850 pcm,"Chartley Avenue, London NW2",1 bed,5 baths,NA,NA
"£1,300 pcm","Coburg Crescent, London SW2",1 bath,NA,NA,NA
"£4,750 pcm","Shoreditch High Street, London E1",5 beds,2 baths,NA,NA
"£2,100 pcm","Graciosa Court, London E1",2 beds,2 baths,NA,NA
"£3,000 pcm","Margravine Road, Barons Court W6",2 beds,1 bath,1 reception,NA
"£2,400 pcm","Compton Road, London SW19",2 beds,1 reception,NA,NA
"£5,500 pcm","Altenburg Gardens, Battersea Rise SW11",4 beds,2 baths,1 reception,NA
"£2,750 pcm","Cobalt Place, Battersea Park SW11",2 beds,2 baths,NA,NA
"£6,000 pcm","Fordel Road, Catford, London SE6",6 beds,3 baths,1 reception,NA
"£1,668 pcm","Whitefriars Court, London N12",1 bed,2 baths,NA,NA
"£3,250 pcm","Gospatrick Road, Tottenham, London N17",4 beds,2 baths,1 reception,1012 sq. ft
"£1,600 pcm","Latchmere Close, Richmond TW10",1 bed,1 bath,1 reception,NA
"£2,475 pcm","The Gessner, 3 Watermead Way, Tottenham Hale N17",1 bed,1 bath,582 sq. ft,NA
"£1,480 pcm","Riverbank Way, Brentford TW8",1 bath,431 sq. ft,NA,NA
"£2,242 pcm","Malvern Road, London NW6",1 bed,1 bath,NA,NA
